pattern_id,entry_date,exit_date,entry_price,exit_price,direction,profit_pct,hit_target,hit_stop,bars_held
80,2022-11-28,2022-11-30,16206.23,17016.5415,bullish,0.04999999999999999,True,False,2
81,2022-11-09,2022-11-10,15891.72,16686.306,bullish,0.05000000000000007,True,False,1
82,2022-11-21,2022-11-23,15756.6,16544.43,bullish,0.049999999999999996,True,False,2
83,2022-11-28,2022-11-30,16206.23,17016.5415,bullish,0.04999999999999999,True,False,2
84,2022-11-09,2022-11-10,15891.72,16686.306,bullish,0.05000000000000007,True,False,1
85,2022-11-21,2022-11-23,15756.6,16544.43,bullish,0.049999999999999996,True,False,2
86,2022-11-28,2022-11-30,16206.23,17016.5415,bullish,0.04999999999999999,True,False,2
87,2022-11-09,2022-11-10,15891.72,16686.306,bullish,0.05000000000000007,True,False,1
88,2022-11-21,2022-11-23,15756.6,16544.43,bullish,0.049999999999999996,True,False,2
89,2022-11-28,2022-11-30,16206.23,17016.5415,bullish,0.04999999999999999,True,False,2
90,2022-11-09,2022-11-10,15891.72,16686.306,bullish,0.05000000000000007,True,False,1
91,2022-11-21,2022-11-23,15756.6,16544.43,bullish,0.049999999999999996,True,False,2
92,2022-11-28,2022-11-30,16206.23,17016.5415,bullish,0.04999999999999999,True,False,2
93,2022-11-28,2022-11-30,16206.23,17016.5415,bullish,0.04999999999999999,True,False,2
94,2022-12-07,2022-12-13,16837.64,17679.522,bullish,0.050000000000000086,True,False,6
95,2022-12-19,2023-01-01,16437.64,16610.74,bullish,0.010530708787879659,False,False,13
96,2022-11-28,2022-11-30,16206.23,17016.5415,bullish,0.04999999999999999,True,False,2
97,2022-12-07,2022-12-13,16837.64,17679.522,bullish,0.050000000000000086,True,False,6
98,2022-12-19,2023-01-01,16437.64,16610.74,bullish,0.010530708787879659,False,False,13
99,2022-12-07,2022-12-13,16837.64,17679.522,bullish,0.050000000000000086,True,False,6
100,2022-03-28,2022-03-29,47129.22,48071.8044,bearish,-0.019999999999999993,False,True,1
101,2022-03-28,2022-03-29,47129.22,48071.8044,bearish,-0.019999999999999993,False,True,1
102,2022-10-29,2022-11-04,20817.91,21234.2682,bearish,-0.01999999999999994,False,True,6
103,2022-11-05,2022-11-08,21294.08,20229.376,bearish,0.050000000000000065,True,False,3
104,2022-10-29,2022-11-04,20817.91,21234.2682,bearish,-0.01999999999999994,False,True,6
105,2022-11-05,2022-11-08,21294.08,20229.376,bearish,0.050000000000000065,True,False,3
106,2022-10-29,2022-11-04,20817.91,21234.2682,bearish,-0.01999999999999994,False,True,6
107,2022-11-05,2022-11-08,21294.08,20229.376,bearish,0.050000000000000065,True,False,3
